Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;581;8307
1;3;581;8307
1;4;566;8243
1;5;575;8282
1;6;596;8368
1;7;570;8261
1;8;551;8180
1;9;551;8180
1;10;554;8193
1;11;542;8142
1;12;542;8142
1;13;542;8142
1;14;527;8085
1;15;527;8085
1;16;527;8085
1;17;527;8085
1;18;549;8177
1;19;537;8124
1;20;549;8177
1;21;554;8196
1;22;554;8196
1;23;564;8235
1;24;564;8235
1;25;564;8235
1;26;564;8235
1;27;564;8235
1;28;617;8458
1;29;617;8458
1;30;617;8458
1;31;614;8449
1;32;614;8448
1;33;614;8448
1;34;575;8279
1;35;589;8335
1;36;589;8339
1;37;589;8339
1;38;598;8374
1;39;598;8374
1;40;573;8277
1;41;573;8277
1;42;573;8277
1;43;627;8495
1;44;627;8495
1;45;666;8661
1;46;689;8755
1;47;689;8755
1;48;726;8908
1;49;726;8908
1;50;726;8908
1;51;716;8870
1;52;708;8839
1;53;716;8869
1;54;716;8869
1;55;734;8943
1;56;734;8943
1;57;746;8994
1;58;762;9061
1;59;762;9061
1;60;773;9103
1;61;773;9103
1;62;733;10177
1;63;668;9905
1;64;666;9898
1;65;655;9848
1;66;655;9848
1;67;611;9456
1;68;651;10003
1;69;646;9818
1;70;625;9717
1;71;625;9717
1;72;619;9467
1;73;675;9699
1;74;661;9641
1;75;661;9641
1;76;660;9634
1;77;703;9916
1;78;709;9940
1;79;729;10024
1;80;686;9845
1;81;690;9864
1;82;644;9671
1;83;625;9595
1;84;664;9658
1;85;664;9658
1;86;664;9658
1;87;667;9670
1;88;667;9670
1;89;646;9581
1;90;646;9581
1;91;646;9581
1;92;626;9497
1;93;621;9358
1;94;623;9369
1;95;654;9495
1;96;632;9407
1;97;587;8970
1;98;590;8984
1;99;603;9039
1;100;607;9053
1;101;599;8983
1;102;584;9205
1;103;596;8655
1;104;592;8638
1;105;565;8524
1;106;618;8745
1;107;605;9044
1;108;615;9089
1;109;614;9247
1;110;584;9124
1;111;572;8907
1;112;595;9005
1;113;594;8997
1;114;612;9072
1;115;607;9050
1;116;627;9134
1;117;618;9097
1;118;620;9103
1;119;610;9062
1;120;590;8982
1;121;632;9121
1;122;632;8751
1;123;623;9083
1;124;615;9051
1;125;618;9449
1;126;561;8456
1;127;561;8456
1;128;561;8456
2;1;617;8195
2;2;0;0
2;3;0;0
2;4;33;138
2;5;42;177
2;6;23;94
2;7;37;156
2;8;48;201
2;9;48;201
2;10;47;198
2;11;55;233
2;12;55;233
2;13;55;233
2;14;68;286
2;15;68;286
2;16;68;286
2;17;68;286
2;18;118;498
2;19;106;445
2;20;118;498
2;21;123;517
2;22;123;517
2;23;133;556
2;24;133;556
2;25;133;556
2;26;133;556
2;27;133;556
2;28;186;779
2;29;186;779
2;30;186;779
2;31;183;770
2;32;183;769
2;33;183;769
2;34;144;600
2;35;158;656
2;36;158;660
2;37;158;660
2;38;167;695
2;39;167;695
2;40;142;598
2;41;142;598
2;42;142;598
2;43;196;816
2;44;196;816
2;45;235;982
2;46;258;1076
2;47;258;1076
2;48;295;1229
2;49;295;1229
2;50;295;1229
2;51;285;1191
2;52;277;1160
2;53;285;1190
2;54;285;1190
2;55;303;1264
2;56;303;1264
2;57;315;1315
2;58;331;1382
2;59;331;1382
2;60;342;1424
2;61;342;1424
2;62;318;2724
2;63;253;2452
2;64;251;2445
2;65;240;2395
2;66;240;2395
2;67;258;3229
2;68;236;2550
2;69;231;2365
2;70;210;2264
2;71;210;2264
2;72;204;2014
2;73;260;2246
2;74;246;2188
2;75;246;2188
2;76;245;2181
2;77;288;2463
2;78;294;2487
2;79;314;2571
2;80;271;2392
2;81;275;2411
2;82;229;2218
2;83;210;2142
2;84;249;2205
2;85;249;2205
2;86;249;2205
2;87;252;2217
2;88;252;2217
2;89;231;2128
2;90;231;2128
2;91;231;2128
2;92;211;2044
2;93;206;1905
2;94;208;1916
2;95;239;2042
2;96;217;1954
2;97;172;1517
2;98;175;1531
2;99;188;1586
2;100;192;1600
2;101;184;1530
2;102;169;1752
2;103;181;1202
2;104;177;1185
2;105;150;1071
2;106;203;1292
2;107;190;1591
2;108;200;1636
2;109;199;1794
2;110;169;1671
2;111;157;1454
2;112;180;1552
2;113;179;1544
2;114;197;1619
2;115;192;1597
2;116;212;1681
2;117;203;1644
2;118;205;1650
2;119;195;1609
2;120;175;1529
2;121;217;1668
2;122;217;1298
2;123;208;1630
2;124;200;1598
2;125;203;1996
2;126;146;1003
2;127;146;1003
2;128;146;1003
3;1;617;8195
3;2;0;0
3;3;0;0
3;4;33;138
3;5;42;177
3;6;23;94
3;7;37;156
3;8;48;201
3;9;48;201
3;10;47;198
3;11;55;233
3;12;55;233
3;13;55;233
3;14;68;286
3;15;68;286
3;16;68;286
3;17;68;286
3;18;118;498
3;19;106;445
3;20;118;498
3;21;123;517
3;22;123;517
3;23;133;556
3;24;133;556
3;25;133;556
3;26;133;556
3;27;133;556
3;28;186;779
3;29;186;779
3;30;186;779
3;31;183;770
3;32;183;769
3;33;183;769
3;34;144;600
3;35;158;656
3;36;158;660
3;37;158;660
3;38;167;695
3;39;167;695
3;40;142;598
3;41;142;598
3;42;142;598
3;43;196;816
3;44;196;816
3;45;235;982
3;46;258;1076
3;47;258;1076
3;48;295;1229
3;49;295;1229
3;50;295;1229
3;51;285;1191
3;52;277;1160
3;53;285;1190
3;54;285;1190
