Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;414;5085
1;3;383;4962
1;4;430;5159
1;5;452;5251
1;6;459;5282
1;7;453;5249
1;8;441;5197
1;9;426;5136
1;10;465;6223
1;11;456;5902
1;12;444;5858
1;13;502;6098
1;14;526;6477
1;15;519;5533
1;16;506;5476
1;17;503;5464
1;18;570;5743
1;19;587;6449
1;20;606;6528
1;21;538;5608
1;22;519;5531
1;23;533;5589
1;24;532;6224
1;25;489;6044
1;26;460;5919
1;27;474;5982
1;28;534;6420
1;29;534;6420
1;30;535;6429
1;31;542;6454
1;32;539;6447
1;33;587;6452
1;34;579;6415
1;35;566;6559
1;36;572;6585
1;37;524;6189
1;38;542;6266
1;39;557;6325
1;40;583;6434
1;41;583;6434
1;42;592;6471
1;43;615;6561
1;44;615;6561
1;45;412;5080
1;46;441;5198
1;47;453;5250
1;48;529;5569
1;49;530;5576
1;50;538;5608
1;51;605;6522
1;52;566;6781
1;53;447;6057
1;54;522;6371
1;55;479;6191
1;56;479;6191
1;57;488;6229
1;58;488;6229
1;59;500;6280
1;60;503;6291
1;61;616;6569
1;62;616;6569
1;63;618;6577
1;64;618;6577
1;65;627;6613
1;66;627;6614
1;67;629;6624
1;68;630;6626
1;69;633;6638
1;70;627;6611
1;71;627;6612
1;72;628;6617
1;73;628;6617
1;74;633;6637
1;75;641;6670
1;76;641;6670
1;77;641;6670
1;78;560;6525
1;79;541;6451
1;80;542;6454
1;81;619;6580
1;82;621;6588
1;83;621;6588
1;84;621;6588
1;85;621;6588
1;86;460;6113
1;87;460;6113
2;1;408;4989
2;2;0;0
2;3;34;137
2;4;51;218
2;5;73;310
2;6;80;341
2;7;89;370
2;8;62;256
2;9;71;293
2;10;142;591
2;11;182;1391
2;12;170;1347
2;13;167;705
2;14;152;642
2;15;140;592
2;16;127;535
2;17;124;523
2;18;191;802
2;19;211;882
2;20;230;961
2;21;159;667
2;22;140;590
2;23;154;648
2;24;181;755
2;25;206;870
2;26;186;1408
2;27;200;1471
2;28;260;1909
2;29;260;1909
2;30;261;1918
2;31;268;1943
2;32;265;1936
