Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;492;5720
1;3;492;5720
1;4;484;5686
1;5;639;6331
1;6;639;6331
1;7;639;6331
1;8;647;6362
1;9;662;6425
1;10;662;6425
1;11;651;6379
1;12;651;6379
1;13;651;6379
1;14;645;6359
1;15;655;6400
1;16;655;6400
1;17;655;6400
1;18;655;6400
1;19;707;6616
1;20;707;6616
1;21;707;6616
1;22;707;6616
1;23;684;7148
1;24;684;7148
1;25;684;7148
1;26;684;7148
1;27;693;7186
1;28;668;6454
1;29;672;6468
1;30;686;6527
1;31;686;6527
1;32;693;6555
1;33;602;6174
1;34;602;6174
1;35;668;6451
1;36;639;6328
1;37;589;6126
1;38;589;6126
1;39;447;5482
1;40;498;5694
1;41;494;5683
1;42;519;5790
1;43;510;5748
1;44;510;5748
1;45;485;5641
1;46;485;5641
1;47;543;6970
1;48;543;6970
1;49;576;7109
1;50;607;7235
1;51;671;7502
1;52;653;6885
1;53;565;6519
1;54;591;6631
1;55;629;6790
1;56;631;6799
1;57;556;6483
1;58;553;6467
1;59;609;6707
1;60;608;6700
1;61;611;6714
1;62;603;6681
1;63;603;6681
1;64;597;6656
1;65;607;6698
1;66;621;6753
1;67;624;6766
1;68;641;6836
1;69;669;6955
1;70;652;6884
1;71;679;6995
1;72;679;6995
1;73;679;6995
1;74;679;6995
1;75;638;6827
1;76;638;6827
1;77;638;6827
1;78;638;6827
1;79;638;6827
1;80;638;6827
1;81;434;5405
1;82;433;5385
1;83;437;5448
1;84;445;5515
1;85;463;5592
1;86;477;5646
1;87;496;5727
1;88;495;5722
1;89;492;5706
1;90;510;5674
1;91;510;5674
1;92;502;5639
1;93;533;5775
1;94;548;5840
1;95;450;5551
1;96;425;5256
1;97;456;5389
1;98;483;5498
1;99;491;5532
1;100;543;6970
2;1;498;5809
2;2;0;0
2;3;0;0
2;4;58;238
2;5;213;883
2;6;213;883
2;7;213;883
2;8;221;914
2;9;236;977
