Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;601;7333
1;3;560;7160
1;4;568;7193
1;5;568;7193
1;6;573;7217
1;7;587;7274
1;8;586;7270
1;9;593;7902
1;10;597;7966
1;11;609;8018
1;12;642;8882
1;13;630;8107
1;14;625;8085
1;15;634;8124
1;16;634;8124
1;17;604;7884
1;18;615;7971
1;19;615;7971
1;20;612;7960
1;21;622;8000
1;22;622;8000
1;23;615;7972
1;24;631;8039
1;25;677;8258
1;26;663;8268
1;27;663;8268
1;28;629;7918
1;29;629;7918
1;30;625;7898
1;31;631;7923
1;32;670;8295
1;33;675;8316
1;34;586;7911
1;35;667;8217
1;36;648;8203
1;37;606;7818
1;38;697;8338
1;39;705;8370
1;40;658;8181
1;41;661;8194
1;42;638;8097
1;43;638;8097
1;44;638;8097
1;45;643;8116
1;46;643;8116
1;47;643;8116
1;48;643;8116
1;49;643;8116
1;50;645;8128
1;51;645;8128
1;52;647;8136
1;53;650;8146
1;54;650;8146
1;55;650;8146
1;56;650;8146
1;57;650;8146
1;58;651;8152
1;59;654;8164
1;60;656;8172
1;61;657;8176
1;62;657;8176
1;63;657;8176
1;64;643;7979
1;65;573;7715
1;66;594;7815
1;67;597;7827
1;68;604;7859
1;69;655;8066
1;70;672;8142
1;71;679;8168
1;72;702;8269
1;73;580;7827
1;74;580;7827
1;75;586;7923
1;76;586;7923
1;77;652;8395
1;78;652;8395
1;79;662;8438
1;80;588;7946
2;1;606;7414
2;2;0;0
2;3;49;203
2;4;57;236
2;5;57;236
2;6;62;260
2;7;76;317
2;8;75;313
2;9;123;960
2;10;50;208
2;11;38;156
2;12;173;2087
2;13;40;166
2;14;35;144
2;15;44;183
2;16;44;183
2;17;132;958
2;18;143;1045
2;19;143;1045
2;20;140;1034
2;21;150;1074
2;22;150;1074
2;23;143;1046
2;24;159;1113
2;25;205;1400
2;26;191;1342
2;27;191;1342
2;28;160;1123
2;29;160;1123
2;30;156;1103
2;31;162;1128
2;32;198;1369
2;33;203;1390
2;34;114;985
2;35;198;1422
2;36;176;1277
2;37;137;1023
2;38;226;1482
2;39;234;1514
2;40;189;1386
2;41;192;1399
2;42;169;1302
2;43;169;1302
2;44;169;1302
2;45;174;1321
2;46;174;1321
2;47;174;1321
2;48;174;1321
2;49;174;1321
2;50;176;1333
2;51;176;1333
2;52;178;1341
2;53;181;1351
2;54;181;1351
2;55;181;1351
2;56;181;1351
2;57;181;1351
2;58;182;1357
2;59;185;1369
2;60;187;1377
2;61;188;1381
2;62;188;1381
2;63;188;1381
2;64;174;1184
2;65;101;789
2;66;122;889
2;67;125;901
2;68;132;933
2;69;183;1140
2;70;200;1216
2;71;207;1242
2;72;230;1343
2;73;108;901
2;74;108;901
2;75;114;997
2;76;114;997
2;77;180;1469
2;78;180;1469
2;79;190;1512
2;80;116;1020
3;1;558;7212
3;2;86;372
3;3;0;0
3;4;8;34
3;5;53;232
3;6;58;256
3;7;72;313
3;8;71;309
3;9;76;905
3;10;80;969
3;11;92;1021
3;12;125;1885
3;13;113;1110
3;14;108;1088
3;15;117;1127
3;16;117;1127
3;17;91;939
3;18;102;1026
3;19;102;1026
3;20;99;1015
3;21;109;1055
3;22;109;1055
3;23;102;1027
3;24;118;1094
3;25;160;1261
3;26;150;1323
3;27;150;1323
3;28;112;921
3;29;112;921
3;30;108;901
3;31;114;926
3;32;157;1350
3;33;162;1371
3;34;73;966
3;35;150;1220
3;36;135;1258
3;37;89;821
3;38;180;1341
3;39;188;1373
3;40;141;1184
3;41;144;1197
3;42;121;1100
3;43;121;1100
3;44;121;1100
3;45;126;1119
3;46;126;1119
3;47;126;1119
3;48;126;1119
3;49;126;1119
3;50;128;1131
3;51;128;1131
3;52;130;1139
3;53;133;1149
3;54;133;1149
3;55;133;1149
3;56;133;1149
3;57;133;1149
3;58;134;1155
3;59;137;1167
