Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;398;4512
1;3;384;4453
1;4;384;4453
1;5;412;4567
1;6;363;4285
1;7;357;4261
1;8;435;4662
1;9;453;4736
1;10;499;4933
1;11;532;5072
1;12;532;5072
1;13;521;5028
1;14;521;5028
1;15;524;5040
1;16;538;5098
1;17;533;5077
1;18;484;4870
1;19;484;4870
1;20;571;5232
1;21;584;5291
1;22;552;5159
1;23;600;5362
1;24;600;5362
1;25;600;5362
1;26;590;5316
1;27;590;5316
1;28;590;5316
1;29;624;7731
1;30;581;7553
1;31;579;7546
1;32;568;7503
1;33;579;7545
1;34;589;7588
1;35;590;7593
1;36;631;7762
1;37;544;7421
1;38;480;6367
1;39;495;6544
1;40;516;6630
1;41;511;6638
1;42;505;6613
1;43;527;6761
1;44;554;6873
1;45;567;6929
1;46;567;6929
1;47;570;6853
1;48;549;6764
1;49;544;6747
1;50;546;6755
1;51;531;6691
1;52;545;6749
1;53;540;6796
1;54;519;6711
1;55;506;6588
1;56;541;6825
1;57;505;6703
1;58;520;6421
1;59;481;6260
1;60;534;6485
1;61;569;6629
1;62;528;6459
1;63;543;6519
1;64;539;6504
1;65;538;6499
1;66;551;6550
1;67;572;6640
1;68;577;6662
1;69;596;6742
1;70;628;6879
1;71;630;6886
1;72;630;6885
1;73;600;6984
1;74;544;6747
1;75;547;6026
1;76;442;5592
1;77;519;5911
1;78;553;6046
1;79;577;6148
1;80;501;5694
1;81;502;5695
1;82;518;5762
1;83;522;5780
1;84;529;5809
1;85;514;5750
1;86;544;5878
1;87;572;5994
1;88;544;5877
1;89;560;5944
1;90;565;5964
1;91;565;5964
1;92;565;5964
1;93;557;6067
1;94;579;6025
1;95;603;6123
1;96;586;6056
1;97;600;6757
1;98;572;5989
1;99;566;5962
1;100;583;6033
1;101;577;6009
1;102;524;5787
1;103;525;5788
1;104;506;5710
1;105;455;5500
1;106;487;5629
1;107;475;5579
1;108;528;5801
1;109;546;6138
1;110;496;5930
1;111;489;5899
1;112;528;6062
1;113;533;6084
1;114;544;5870
1;115;501;5691
1;116;504;5704
1;117;512;5738
1;118;472;5567
1;119;486;5629
1;120;492;5652
1;121;507;5446
1;122;503;5430
1;123;439;5169
1;124;433;5143
1;125;473;6142
2;1;425;4920
2;2;0;0
2;3;68;285
2;4;68;285
2;5;96;399
2;6;65;351
2;7;59;327
2;8;57;236
2;9;75;310
2;10;121;507
2;11;154;646
2;12;154;646
2;13;143;602
2;14;143;602
2;15;146;614
2;16;160;672
2;17;155;651
2;18;106;444
2;19;106;444
2;20;193;806
2;21;206;865
2;22;174;733
2;23;222;936
2;24;222;936
2;25;222;936
2;26;212;890
2;27;212;890
2;28;212;890
2;29;254;1066
2;30;231;969
2;31;265;1111
2;32;254;1068
2;33;265;1110
2;34;275;1153
2;35;276;1158
2;36;317;1327
2;37;256;3641
2;38;221;3075
2;39;236;3252
2;40;257;3338
2;41;252;3346
2;42;246;3321
2;43;268;3469
2;44;295;3581
2;45;308;3637
2;46;308;3637
2;47;311;3561
2;48;290;3472
2;49;285;3455
2;50;287;3463
2;51;272;3399
2;52;286;3457
2;53;281;3504
2;54;260;3419
2;55;247;3296
2;56;282;3533
2;57;246;3411
2;58;261;3129
2;59;222;2968
2;60;275;3193
2;61;310;3337
2;62;269;3167
2;63;284;3227
2;64;280;3212
2;65;279;3207
2;66;292;3258
2;67;313;3348
2;68;318;3370
2;69;337;3450
2;70;369;3587
2;71;371;3594
2;72;371;3593
2;73;341;3692
2;74;285;3455
2;75;288;2734
2;76;183;2300
2;77;260;2619
2;78;294;2754
2;79;318;2856
2;80;242;2402
2;81;243;2403
2;82;259;2470
2;83;263;2488
2;84;270;2517
2;85;255;2458
2;86;285;2586
2;87;313;2702
2;88;285;2585
2;89;301;2652
2;90;306;2672
2;91;306;2672
2;92;306;2672
2;93;298;2775
2;94;320;2733
2;95;344;2831
2;96;327;2764
2;97;341;3465
2;98;313;2697
2;99;307;2670
2;100;324;2741
2;101;318;2717
2;102;265;2495
2;103;266;2496
2;104;247;2418
2;105;196;2208
2;106;228;2337
2;107;216;2287
2;108;269;2509
2;109;287;2846
2;110;237;2638
2;111;230;2607
2;112;269;2770
2;113;274;2792
2;114;285;2578
2;115;242;2399
2;116;245;2412
2;117;253;2446
2;118;213;2275
2;119;227;2337
2;120;233;2360
2;121;248;2154
2;122;244;2138
2;123;180;1877
2;124;174;1851
2;125;214;2850
3;1;411;4861
3;2;68;285
3;3;0;0
3;4;0;0
3;5;42;176
3;6;51;292
3;7;45;268
3;8;105;435
3;9;123;509
3;10;169;706
3;11;202;845
3;12;202;845
3;13;191;801
3;14;191;801
3;15;194;813
3;16;208;871
3;17;203;850
3;18;154;643
3;19;154;643
3;20;241;1005
3;21;254;1064
3;22;222;932
3;23;270;1135
3;24;270;1135
3;25;270;1135
3;26;260;1089
3;27;260;1089
3;28;260;1089
3;29;302;1265
3;30;279;1168
3;31;288;3981
3;32;277;3938
3;33;288;3980
3;34;298;4023
3;35;299;4028
3;36;340;4197
3;37;242;3582
3;38;207;3016
3;39;222;3193
3;40;243;3279
3;41;238;3287
3;42;232;3262
3;43;254;3410
3;44;281;3522
3;45;294;3578
3;46;294;3578
3;47;297;3502
3;48;276;3413
3;49;271;3396
3;50;273;3404
3;51;258;3340
3;52;272;3398
3;53;267;3445
3;54;246;3360
3;55;233;3237
3;56;268;3474
3;57;232;3352
3;58;247;3070
3;59;208;2909
3;60;261;3134
3;61;296;3278
3;62;255;3108
3;63;270;3168
3;64;266;3153
3;65;265;3148
3;66;278;3199
3;67;299;3289
3;68;304;3311
3;69;323;3391
3;70;355;3528
3;71;357;3535
3;72;357;3534
3;73;327;3633
3;74;271;3396
3;75;274;2675
3;76;169;2241
3;77;246;2560
3;78;280;2695
3;79;304;2797
3;80;228;2343
3;81;229;2344
3;82;245;2411
3;83;249;2429
3;84;256;2458
3;85;241;2399
3;86;271;2527
3;87;299;2643
3;88;271;2526
3;89;287;2593
3;90;292;2613
3;91;292;2613
3;92;292;2613
3;93;284;2716
3;94;306;2674
3;95;330;2772
3;96;313;2705
3;97;327;3406
3;98;299;2638
3;99;293;2611
3;100;310;2682
3;101;304;2658
3;102;251;2436
3;103;252;2437
3;104;233;2359
3;105;182;2149
3;106;214;2278
3;107;202;2228
3;108;255;2450
3;109;273;2787
3;110;223;2579
3;111;216;2548
3;112;255;2711
3;113;260;2733
3;114;271;2519
3;115;228;2340
3;116;231;2353
3;117;239;2387
3;118;199;2216
3;119;213;2278
3;120;219;2301
3;121;234;2095
