Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;219;2370
1;3;246;2495
1;4;256;2667
1;5;232;2591
1;6;274;3212
1;7;289;3535
1;8;284;3456
1;9;290;3454
1;10;319;3801
1;11;376;3906
1;12;335;3734
1;13;311;3639
1;14;346;3780
1;15;304;3799
1;16;454;6091
1;17;466;6142
1;18;480;6202
1;19;557;6523
1;20;565;6558
1;21;626;6808
1;22;686;7898
1;23;637;7692
1;24;725;8064
1;25;725;8064
1;26;719;8035
1;27;713;8011
1;28;553;7334
1;29;586;7468
1;30;524;7215
1;31;555;8015
1;32;585;8452
1;33;595;8378
1;34;643;8193
1;35;276;3260
1;36;738;8338
1;37;785;8785
1;38;691;8392
1;39;672;8312
1;40;722;8524
1;41;551;7824
1;42;551;7824
1;43;510;7156
1;44;615;7592
1;45;629;7650
1;46;623;7628
1;47;615;7595
1;48;617;7602
1;49;649;7672
1;50;602;7534
1;51;600;7527
1;52;574;7423
1;53;588;7421
1;54;545;7240
1;55;615;7533
1;56;629;7590
1;57;632;7604
1;58;664;7740
1;59;687;8464
1;60;680;8437
1;61;711;8566
1;62;718;8595
1;63;760;8771
1;64;734;8664
1;65;670;8395
1;66;654;8326
1;67;650;8309
1;68;585;8259
1;69;595;8301
1;70;596;8304
1;71;586;8439
1;72;641;9003
1;73;699;9244
1;74;768;9529
1;75;773;9548
1;76;783;9600
1;77;741;9424
1;78;802;9674
1;79;777;9568
1;80;721;9970
1;81;672;9769
1;82;659;8346
1;83;664;8367
1;84;665;8373
1;85;711;8566
1;86;624;8203
1;87;706;8549
1;88;828;9049
1;89;862;9196
1;90;806;8960
1;91;835;9087
1;92;825;9030
1;93;772;8813
1;94;791;8895
1;95;790;8888
1;96;658;8342
1;97;727;8629
1;98;811;8976
1;99;809;8968
1;100;814;8991
1;101;922;9435
1;102;913;9397
1;103;901;9357
1;104;913;9406
1;105;741;8684
1;106;753;8734
1;107;780;8849
1;108;786;8873
1;109;833;9073
1;110;841;9103
1;111;814;8991
1;112;814;8995
1;113;767;8800
1;114;762;8775
1;115;774;8827
1;116;766;8791
1;117;649;8302
1;118;482;5336
1;119;379;3920
1;120;379;3920
2;1;219;2334
2;2;0;0
2;3;27;127
2;4;37;299
2;5;13;223
2;6;55;844
2;7;70;1167
2;8;65;1088
2;9;71;1086
2;10;100;1433
2;11;157;1538
2;12;116;1366
2;13;92;1271
2;14;127;1412
2;15;85;1431
2;16;235;3723
2;17;247;3774
2;18;261;3834
2;19;338;4155
2;20;346;4190
2;21;407;4440
2;22;467;5530
2;23;418;5324
2;24;506;5696
2;25;506;5696
2;26;500;5667
2;27;494;5643
2;28;334;4966
2;29;367;5100
2;30;305;4847
2;31;336;5647
2;32;366;6084
2;33;376;6010
2;34;424;5825
2;35;57;892
2;36;519;5970
2;37;566;6417
2;38;472;6024
2;39;453;5944
2;40;503;6156
2;41;332;5456
2;42;332;5456
2;43;291;4788
2;44;396;5224
2;45;410;5282
2;46;404;5260
2;47;396;5227
2;48;398;5234
2;49;430;5304
2;50;383;5166
2;51;381;5159
2;52;355;5055
2;53;369;5053
2;54;326;4872
2;55;396;5165
