Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;990;13878
1;3;978;10512
1;4;999;10603
1;5;971;10483
1;6;970;10480
1;7;970;10480
1;8;961;10441
1;9;961;10441
1;10;959;10433
1;11;937;10341
1;12;911;10237
1;13;881;10108
1;14;881;10108
1;15;901;10193
1;16;919;10266
1;17;931;10318
1;18;933;10331
1;19;933;10331
1;20;933;10331
1;21;933;10331
1;22;933;10331
1;23;902;10199
1;24;902;10199
1;25;918;10266
1;26;918;10266
1;27;890;10147
1;28;893;10160
1;29;863;10032
1;30;746;8906
1;31;799;9047
1;32;799;9047
1;33;773;8865
1;34;773;8863
1;35;773;8863
1;36;764;8824
1;37;759;8804
1;38;750;8769
1;39;750;8769
1;40;750;8769
1;41;755;8791
1;42;755;8791
1;43;770;8852
1;44;773;8864
1;45;777;8882
1;46;777;8881
1;47;772;8862
1;48;789;8933
1;49;796;8959
1;50;700;8565
1;51;703;8577
1;52;705;8584
1;53;708;8597
1;54;708;8597
1;55;725;8665
1;56;751;8774
1;57;751;8774
1;58;792;8943
1;59;786;8917
1;60;795;8953
1;61;825;8765
1;62;825;8765
1;63;825;8765
1;64;825;8765
1;65;812;8711
1;66;794;8638
1;67;809;8701
1;68;809;8701
1;69;809;8701
1;70;809;8701
1;71;761;8500
1;72;761;8500
1;73;743;8423
1;74;792;8629
1;75;738;8400
1;76;744;8425
1;77;751;8454
1;78;752;8460
1;79;766;8518
1;80;779;8572
1;81;779;8572
1;82;840;9138
1;83;868;9254
1;84;868;9254
1;85;868;9254
1;86;868;9254
1;87;868;9254
1;88;868;9254
1;89;868;9254
1;90;855;9201
1;91;854;9276
1;92;857;9287
1;93;857;9287
1;94;847;9250
1;95;841;9221
1;96;841;9221
1;97;854;9276
1;98;822;9149
1;99;822;9149
1;100;806;9083
1;101;800;9060
1;102;800;9060
1;103;773;8942
1;104;769;8925
1;105;769;8925
1;106;6;25
2;1;998;13994
2;2;0;0
2;3;81;339
2;4;83;350
2;5;110;463
2;6;122;511
2;7;122;511
2;8;131;548
2;9;131;548
2;10;133;556
2;11;132;553
2;12;177;743
2;13;167;698
2;14;167;698
2;15;187;783
2;16;129;543
2;17;115;484
2;18;107;451
2;19;107;451
2;20;107;451
2;21;107;451
2;22;107;451
2;23;80;337
2;24;80;337
2;25;64;270
2;26;64;270
2;27;97;405
2;28;101;424
2;29;141;590
2;30;362;1505
2;31;415;1718
2;32;415;1718
2;33;445;1841
2;34;445;1843
2;35;445;1843
2;36;442;2724
2;37;437;2704
2;38;428;2669
2;39;428;2669
2;40;428;2669
2;41;433;2691
2;42;433;2691
2;43;448;2752
2;44;451;2764
2;45;455;2782
2;46;455;2781
2;47;450;2762
2;48;467;2833
2;49;474;2859
2;50;378;2465
2;51;381;2477
2;52;383;2484
2;53;386;2497
2;54;386;2497
2;55;403;2565
2;56;429;2674
2;57;429;2674
2;58;470;2843
2;59;439;1821
2;60;448;1857
2;61;484;2022
2;62;484;2022
2;63;484;2022
2;64;484;2022
2;65;520;2155
2;66;508;2106
2;67;523;2169
2;68;523;2169
2;69;523;2169
2;70;523;2169
2;71;489;3246
2;72;489;3246
2;73;471;3169
2;74;520;3375
2;75;466;3146
2;76;472;3171
2;77;479;3200
2;78;479;1987
2;79;464;1923
2;80;456;1891
2;81;456;1891
2;82;462;1920
2;83;453;1880
2;84;453;1880
2;85;453;1880
2;86;453;1880
2;87;453;1880
2;88;453;1880
2;89;453;1880
2;90;455;1887
2;91;448;1857
2;92;451;1868
2;93;451;1868
2;94;441;1831
2;95;435;1802
2;96;435;1802
2;97;424;1758
2;98;315;1308
2;99;315;1308
2;100;331;1375
2;101;337;1397
2;102;337;1397
2;103;364;1508
2;104;369;1528
2;105;369;1528
2;106;994;13977
3;1;926;10625
3;2;81;339
3;3;0;0
3;4;22;93
3;5;30;126
3;6;42;174
3;7;42;174
3;8;51;211
3;9;51;211
3;10;53;219
3;11;52;216
3;12;97;406
3;13;248;1037
3;14;248;1037
3;15;268;1122
3;16;119;496
3;17;131;548
3;18;139;581
3;19;139;581
3;20;139;581
3;21;139;581
3;22;139;581
3;23;161;676
3;24;161;676
3;25;145;609
3;26;145;609
3;27;178;744
3;28;182;763
3;29;222;929
3;30;316;2045
3;31;383;2398
3;32;383;2398
3;33;371;2428
3;34;371;2426
3;35;371;2426
3;36;362;2387
3;37;357;2367
3;38;348;2332
3;39;348;2332
3;40;348;2332
3;41;353;2354
3;42;353;2354
3;43;368;2415
3;44;371;2427
3;45;375;2445
3;46;375;2444
3;47;370;2425
3;48;387;2496
3;49;394;2522
3;50;298;2128
3;51;301;2140
3;52;303;2147
3;53;306;2160
3;54;306;2160
3;55;323;2228
3;56;349;2337
3;57;349;2337
3;58;390;2506
3;59;384;2480
3;60;393;2516
3;61;436;2695
3;62;436;2695
3;63;436;2695
3;64;436;2695
3;65;444;2728
