Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;1017;14449
1;3;1017;14449
1;4;1017;14449
1;5;1017;14449
1;6;1163;13982
1;7;1127;13833
1;8;1144;13902
1;9;1094;15428
1;10;1127;13833
1;11;978;14267
1;12;1059;14648
1;13;1059;14648
1;14;1059;14648
1;15;1056;14832
1;16;1056;14832
1;17;1028;14712
1;18;1035;14744
1;19;1041;14767
1;20;1042;15157
1;21;1043;15160
1;22;1117;15466
1;23;1093;15426
1;24;1093;15426
1;25;1172;15693
1;26;1221;15896
1;27;1221;15896
1;28;1235;15955
1;29;1186;15758
1;30;1108;15885
1;31;1108;15885
1;32;1162;16113
1;33;1144;15574
1;34;1119;15472
1;35;1073;15282
1;36;1063;15242
1;37;1093;15366
1;38;1096;15380
1;39;1093;15367
1;40;1077;15298
1;41;1063;15242
1;42;1063;15242
1;43;1062;15236
1;44;1194;15657
1;45;1188;15635
1;46;1127;15378
1;47;1141;15438
1;48;1168;15545
1;49;1200;15814
1;50;1207;15844
1;51;1237;15968
1;52;1339;16272
1;53;1347;16303
1;54;1341;16280
1;55;1335;16254
1;56;1361;16365
1;57;1359;16358
1;58;1166;15545
1;59;1186;15627
1;60;1185;15624
1;61;1187;15632
1;62;1197;15671
1;63;1141;15444
1;64;1147;15466
1;65;1160;15515
1;66;1160;15515
1;67;1160;15515
1;68;1160;15515
1;69;1138;15428
1;70;1149;15473
1;71;1111;15312
1;72;1111;15312
1;73;1144;15454
1;74;1116;15336
1;75;1063;15107
1;76;1082;15191
1;77;1014;14907
1;78;1035;14997
1;79;1155;15020
1;80;1105;14814
1;81;1095;14776
1;82;1094;14772
1;83;1087;15397
1;84;1094;15428
1;85;1090;15412
1;86;1090;15411
1;87;1091;15417
1;88;1017;14449
2;1;1023;14553
2;2;0;0
2;3;0;0
2;4;0;0
2;5;0;0
2;6;329;2372
2;7;342;2431
2;8;327;2365
2;9;208;1866
2;10;342;2431
2;11;92;705
2;12;173;1086
2;13;173;1086
2;14;173;1086
2;15;170;1270
2;16;170;1270
2;17;142;1150
2;18;149;1182
2;19;155;1205
2;20;156;1595
2;21;157;1598
2;22;231;1904
2;23;207;1864
2;24;207;1864
2;25;286;2131
2;26;335;2334
2;27;335;2334
2;28;349;2393
2;29;300;2196
2;30;222;2323
2;31;222;2323
2;32;276;2551
2;33;258;2012
2;34;233;1910
2;35;187;1720
2;36;177;1680
2;37;207;1804
2;38;210;1818
2;39;207;1805
2;40;191;1736
2;41;177;1680
2;42;177;1680
2;43;176;1674
2;44;281;1172
2;45;275;1150
2;46;214;893
2;47;228;953
2;48;255;1060
2;49;293;1225
2;50;300;1255
2;51;330;1379
2;52;452;1890
2;53;460;1921
2;54;454;1898
2;55;448;1872
2;56;474;1983
2;57;472;1976
2;58;300;1725
2;59;320;1807
2;60;319;1804
2;61;321;1812
2;62;331;1851
2;63;275;1624
2;64;281;1646
2;65;294;1695
2;66;294;1695
2;67;294;1695
2;68;294;1695
2;69;272;1608
2;70;283;1653
2;71;245;1492
2;72;245;1492
2;73;278;1634
