Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;954;10414
1;3;954;10414
1;4;954;10414
1;5;954;10414
1;6;969;10479
1;7;969;10479
1;8;983;10536
1;9;1000;10605
1;10;973;9782
1;11;949;9681
1;12;948;9680
1;13;967;9756
1;14;980;9807
1;15;974;9784
1;16;965;9745
1;17;961;9731
1;18;952;9693
1;19;939;9641
1;20;935;9623
1;21;932;9610
1;22;924;13583
1;23;914;13537
1;24;912;13530
1;25;912;13530
1;26;905;13504
1;27;905;13504
1;28;905;13504
1;29;905;13504
1;30;854;11096
1;31;854;11096
1;32;831;10999
1;33;848;11066
1;34;850;11077
1;35;858;11219
1;36;885;14505
1;37;859;13311
1;38;859;13314
1;39;876;13379
1;40;877;13387
1;41;885;13417
1;42;886;13419
1;43;886;13419
1;44;889;13433
1;45;894;13456
1;46;894;13456
1;47;907;13508
1;48;910;13519
1;49;910;13520
1;50;910;13520
1;51;910;13520
1;52;910;13520
1;53;910;13520
1;54;916;13547
1;55;912;13530
1;56;912;13530
1;57;912;13530
1;58;889;13433
1;59;877;13384
1;60;877;13384
1;61;873;13370
1;62;865;13336
1;63;865;13336
1;64;837;11132
1;65;837;11132
1;66;843;11157
1;67;848;11178
1;68;848;11178
1;69;856;11212
1;70;859;11222
1;71;836;11129
1;72;836;11129
1;73;841;11147
1;74;883;11219
1;75;883;11215
1;76;874;11181
1;77;906;11312
1;78;874;11080
1;79;845;11054
1;80;845;11054
1;81;845;11054
1;82;845;11056
1;83;855;11098
2;1;958;13826
2;2;0;0
2;3;0;0
2;4;0;0
2;5;0;0
2;6;16;66
2;7;16;66
2;8;30;123
2;9;47;192
2;10;79;326
2;11;104;427
2;12;128;530
2;13;147;606
2;14;162;669
2;15;168;694
2;16;178;733
2;17;181;746
2;18;190;785
2;19;203;837
2;20;207;854
2;21;210;868
2;22;281;1223
2;23;271;1177
2;24;269;1170
2;25;269;1170
2;26;262;1144
2;27;262;1144
2;28;262;1144
2;29;262;1144
2;30;292;2281
2;31;292;2281
2;32;269;2184
2;33;286;2251
2;34;288;2262
2;35;233;1725
2;36;211;1553
2;37;216;951
2;38;216;954
2;39;233;1019
2;40;234;1027
2;41;242;1057
2;42;243;1059
2;43;243;1059
2;44;246;1073
2;45;251;1096
2;46;251;1096
2;47;264;1148
2;48;267;1159
2;49;267;1160
2;50;267;1160
2;51;267;1160
2;52;267;1160
2;53;267;1160
2;54;273;1187
2;55;269;1170
2;56;269;1170
2;57;269;1170
2;58;246;1073
2;59;234;1024
2;60;234;1024
2;61;230;1010
2;62;222;976
2;63;222;976
2;64;244;1772
2;65;244;1772
2;66;261;2050
2;67;266;2071
2;68;266;2071
2;69;274;2105
2;70;277;2115
2;71;254;2022
2;72;254;2022
2;73;259;2040
2;74;305;1760
2;75;305;1756
2;76;296;1722
2;77;292;1707
2;78;310;1773
2;79;283;2239
2;80;283;2239
2;81;283;2239
2;82;283;2241
2;83;293;2283
3;1;958;13826
3;2;0;0
3;3;0;0
3;4;0;0
3;5;0;0
3;6;16;66
3;7;16;66
3;8;30;123
3;9;47;192
3;10;79;326
3;11;104;427
3;12;128;530
3;13;147;606
3;14;162;669
3;15;168;694
3;16;178;733
3;17;181;746
3;18;190;785
3;19;203;837
3;20;207;854
3;21;210;868
3;22;281;1223
3;23;271;1177
3;24;269;1170
3;25;269;1170
3;26;262;1144
3;27;262;1144
3;28;262;1144
3;29;262;1144
3;30;292;2281
3;31;292;2281
3;32;269;2184
3;33;286;2251
3;34;288;2262
3;35;233;1725
3;36;211;1553
3;37;216;951
3;38;216;954
3;39;233;1019
3;40;234;1027
3;41;242;1057
3;42;243;1059
3;43;243;1059
3;44;246;1073
3;45;251;1096
3;46;251;1096
3;47;264;1148
3;48;267;1159
3;49;267;1160
3;50;267;1160
3;51;267;1160
3;52;267;1160
3;53;267;1160
3;54;273;1187
3;55;269;1170
3;56;269;1170
3;57;269;1170
3;58;246;1073
3;59;234;1024
3;60;234;1024
3;61;230;1010
3;62;222;976
3;63;222;976
3;64;244;1772
3;65;244;1772
3;66;261;2050
3;67;266;2071
3;68;266;2071
3;69;274;2105
3;70;277;2115
3;71;254;2022
3;72;254;2022
3;73;259;2040
3;74;305;1760
3;75;305;1756
3;76;296;1722
3;77;292;1707
3;78;310;1773
3;79;283;2239
3;80;283;2239
3;81;283;2239
3;82;283;2241
3;83;293;2283
4;1;958;13826
4;2;0;0
4;3;0;0
4;4;0;0
4;5;0;0
4;6;16;66
4;7;16;66
4;8;30;123
4;9;47;192
4;10;79;326
4;11;104;427
4;12;128;530
4;13;147;606
4;14;162;669
4;15;168;694
4;16;178;733
4;17;181;746
4;18;190;785
4;19;203;837
4;20;207;854
4;21;210;868
4;22;281;1223
4;23;271;1177
4;24;269;1170
4;25;269;1170
4;26;262;1144
4;27;262;1144
4;28;262;1144
4;29;262;1144
4;30;292;2281
4;31;292;2281
4;32;269;2184
4;33;286;2251
4;34;288;2262
4;35;233;1725
4;36;211;1553
4;37;216;951
4;38;216;954
4;39;233;1019
4;40;234;1027
4;41;242;1057
4;42;243;1059
4;43;243;1059
4;44;246;1073
4;45;251;1096
4;46;251;1096
4;47;264;1148
4;48;267;1159
4;49;267;1160
4;50;267;1160
4;51;267;1160
4;52;267;1160
4;53;267;1160
4;54;273;1187
4;55;269;1170
4;56;269;1170
4;57;269;1170
4;58;246;1073
4;59;234;1024
4;60;234;1024
4;61;230;1010
4;62;222;976
4;63;222;976
4;64;244;1772
4;65;244;1772
4;66;261;2050
4;67;266;2071
4;68;266;2071
4;69;274;2105
4;70;277;2115
4;71;254;2022
4;72;254;2022
4;73;259;2040
4;74;305;1760
4;75;305;1756
4;76;296;1722
4;77;292;1707
4;78;310;1773
4;79;283;2239
4;80;283;2239
4;81;283;2239
4;82;283;2241
4;83;293;2283
5;1;958;13826
5;2;0;0
5;3;0;0
5;4;0;0
5;5;0;0
5;6;16;66
5;7;16;66
5;8;30;123
5;9;47;192
5;10;79;326
5;11;104;427
5;12;128;530
5;13;147;606
5;14;162;669
5;15;168;694
5;16;178;733
5;17;181;746
5;18;190;785
5;19;203;837
5;20;207;854
5;21;210;868
5;22;281;1223
5;23;271;1177
5;24;269;1170
5;25;269;1170
5;26;262;1144
5;27;262;1144
5;28;262;1144
5;29;262;1144
5;30;292;2281
5;31;292;2281
5;32;269;2184
5;33;286;2251
5;34;288;2262
5;35;233;1725
5;36;211;1553
5;37;216;951
5;38;216;954
5;39;233;1019
5;40;234;1027
5;41;242;1057
5;42;243;1059
5;43;243;1059
5;44;246;1073
5;45;251;1096
5;46;251;1096
5;47;264;1148
5;48;267;1159
5;49;267;1160
5;50;267;1160
5;51;267;1160
5;52;267;1160
5;53;267;1160
5;54;273;1187
5;55;269;1170
5;56;269;1170
5;57;269;1170
5;58;246;1073
5;59;234;1024
5;60;234;1024
5;61;230;1010
5;62;222;976
5;63;222;976
5;64;244;1772
5;65;244;1772
5;66;261;2050
5;67;266;2071
5;68;266;2071
5;69;274;2105
5;70;277;2115
5;71;254;2022
5;72;254;2022
5;73;259;2040
5;74;305;1760
5;75;305;1756
5;76;296;1722
5;77;292;1707
5;78;310;1773
5;79;283;2239
5;80;283;2239
5;81;283;2239
5;82;283;2241
5;83;293;2283
6;1;973;13891
6;2;16;66
6;3;16;66
6;4;16;66
6;5;16;66
6;6;0;0
6;7;0;0
6;8;14;59
6;9;31;128
6;10;63;262
6;11;88;363
6;12;112;466
6;13;131;542
