Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;525;6496
1;3;240;2137
1;4;209;2010
1;5;231;2565
1;6;273;2274
1;7;280;2603
1;8;260;2519
1;9;310;2728
1;10;324;2949
1;11;316;2914
1;12;334;4048
1;13;325;4011
1;14;329;3913
1;15;350;3950
1;16;383;4027
1;17;383;4027
1;18;383;4027
1;19;405;4114
1;20;395;4073
1;21;398;4201
1;22;334;4047
1;23;334;4047
1;24;334;4047
1;25;334;4047
1;26;388;3649
1;27;380;4125
1;28;406;4233
1;29;394;4069
1;30;356;4383
1;31;549;5189
1;32;450;4779
1;33;450;4779
1;34;505;5004
1;35;500;4986
1;36;409;4430
1;37;418;4465
1;38;418;4465
1;39;436;4540
1;40;436;4540
1;41;436;4540
1;42;453;4609
1;43;459;4636
1;44;404;4409
1;45;345;3951
1;46;383;4110
1;47;436;4547
1;48;436;4547
1;49;439;4560
1;50;388;4159
1;51;388;4159
1;52;415;4273
1;53;397;4377
1;54;355;4024
1;55;326;4177
1;56;326;4177
1;57;398;4558
1;58;483;4915
1;59;339;4375
1;60;322;4005
1;61;322;4005
1;62;475;4705
1;63;510;4851
1;64;533;4767
1;65;531;4758
1;66;549;4832
1;67;505;4448
1;68;514;4486
1;69;488;4377
1;70;470;4302
1;71;469;4380
1;72;454;4319
1;73;455;4324
1;74;485;4569
1;75;477;4533
1;76;501;4634
1;77;479;4541
1;78;453;4431
1;79;453;4431
1;80;487;4572
1;81;509;4466
1;82;515;4689
1;83;432;4143
1;84;431;4136
1;85;440;4173
1;86;433;4146
1;87;429;4132
1;88;404;4024
1;89;441;4178
1;90;421;3356
1;91;411;3752
1;92;445;3890
1;93;336;3438
1;94;317;3358
1;95;319;3363
1;96;366;3554
1;97;409;3168
1;98;392;3101
1;99;385;3633
1;100;383;3623
1;101;387;3639
1;102;416;3202
1;103;402;3276
1;104;380;3186
1;105;423;3362
1;106;412;3181
1;107;415;3333
1;108;379;3047
1;109;379;3047
1;110;402;3143
1;111;366;2989
1;112;280;2634
1;113;238;2460
1;114;237;2454
1;115;259;2546
1;116;269;2590
1;117;339;2881
1;118;346;2911
2;1;519;6410
2;2;0;0
2;3;373;4723
2;4;342;4596
2;5;544;8118
2;6;399;4533
2;7;367;4401
2;8;347;4317
