Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;1996;34033
1;3;1809;31010
1;4;2095;32379
1;5;2138;32559
1;6;2131;32529
1;7;2142;32577
1;8;2093;32374
1;9;2141;32647
1;10;2071;32241
1;11;2096;32273
1;12;2141;32461
1;13;2162;32545
1;14;2205;32726
1;15;2192;32671
1;16;2192;32672
1;17;2145;32664
1;18;2142;32654
1;19;2146;32668
1;20;2117;32362
1;21;2187;33065
1;22;2192;34855
1;23;2204;34907
1;24;2204;34907
1;25;2138;34631
1;26;2191;33083
1;27;2087;34397
1;28;2083;34378
1;29;2100;34830
1;30;2100;34830
1;31;2069;34502
1;32;2069;34502
1;33;2069;34502
1;34;2077;34735
1;35;2084;34766
1;36;2127;35118
1;37;2172;35565
1;38;2150;35581
1;39;2150;35581
1;40;2359;36256
1;41;2461;36682
1;42;2375;35542
1;43;2398;35634
1;44;2398;35634
1;45;2339;35062
1;46;2180;33797
1;47;2193;33848
1;48;2272;34177
1;49;2382;34634
1;50;2452;34928
1;51;2463;34973
1;52;2467;34988
1;53;2507;35165
1;54;2555;33513
1;55;2548;33485
1;56;2548;33485
1;57;2454;33095
1;58;2544;33466
1;59;2589;33655
1;60;2574;33602
1;61;2553;33505
1;62;2482;35056
1;63;2482;35056
1;64;2371;34584
1;65;2359;34537
1;66;2319;34369
1;67;2267;34152
1;68;2216;33946
1;69;2169;33793
1;70;2180;33929
1;71;2224;34163
1;72;2228;34181
1;73;2212;34252
1;74;2215;34264
1;75;2281;34260
1;76;2288;34568
1;77;2288;34568
1;78;2277;34522
1;79;2269;34488
1;80;2268;34485
1;81;2214;34256
1;82;2243;36198
1;83;2230;36143
1;84;2229;36141
1;85;2229;36141
1;86;2214;36075
1;87;2170;35934
1;88;2172;35962
1;89;2198;34040
1;90;2200;34048
1;91;2189;36047
1;92;2186;36035
1;93;2163;35811
1;94;2249;36012
1;95;2277;36131
1;96;2232;35943
1;97;2268;36094
1;98;2154;35660
1;99;2211;35731
1;100;2241;34095
1;101;2261;34181
1;102;2358;34585
1;103;2251;34138
1;104;2244;34110
2;1;2005;34065
2;2;0;0
2;3;199;3206
2;4;182;1990
2;5;171;1948
2;6;164;1918
2;7;175;1966
2;8;180;1985
2;9;169;1939
2;10;99;1533
2;11;124;1565
2;12;169;1753
2;13;190;1837
